ISBN,Título,Género,Autor,Editorial,Número de Páginas,Fecha de Publicación,Sinopsis,Portada,URL
9786071704993,El cine como recurso didáctico,Cine,Gabriel García Colorado,Trillas,96,2010,"El cine surgió como ciencia y arte simultáneamente, dicha relación se construyó a través de la gran variedad de géneros que este abarca, independiente, de animación, documental, experimental o de autor, con sus estilos clásico y moderno. Gabriel García colorado trasciende el conocimiento pedagógico a nuevas generaciones, quienes más habituadas al cine debaten con él y sobre el cotidianamente. Favorecida por la utilización del cine para narrar historias, la ciencia hace acopio de evidencias a través de la generación del conocimiento, para lo cual hay que realizar un proceso de reflexión. En este libro destacan los éxitos de las estrategias lúdicas en la enseñanza y los autores analizan este problema en la educación media superior, en los aspectos del entretenimiento, los recursos educativos y mejor aún, guían al lector sobre el debate del cine y le ofrecen un buen lote de títulos de películas que por su calidad y trascendencia son dignas de ser vistas.","https://www.gandhi.com.mx/media/catalog/product/9/7/9786071704993.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/el-cine-como-recurso-didactico
9788499693835,MAS CALIDAD MENOS COSTE. LA VIA LEAN HEALTHCARE,Negocios y Finanzas,Santiago Nofuentes,Diaz de Santos,192,2012,"Cada año fallecen 16.000 pacientes en los hospitales españoles tras haber sufrido algún efecto adverso derivado de la asistencia sanitaria. La cifra se estima a partir de los datos del estudio eneas publicado por el ministerio de sanidad. Evitar los efectos adversos implica diseñar sistemas de calidad y procesos seguros. Los costes de la no calidad pueden superar el 30% del presupuesto sanitario. En este libro se muestra que calidad y costes son objetivos complementarios, a mayor calidad menor costo. Lo que cuesta es trabajar sin calidad, cometer errores, repetir pruebas. Se proponen estrategias para la mejora de la calidad y la reducción de costos improductivos. Invertir en calidad es muy rentable y una oportunidad ante la crisis. Se explica la metodología lean healthcare, utilizada mundialmente con resultados excepcionales. La filosofía lean, sus herramientas y las claves para su implantación. El gran éxito de lean es debido a que se solucionan problemas reales, en el lugar de trabajo, con la participación de los profesionales, con objetividad y rapidez. Se detallan también diversos ejemplos y casos reales del grup sagessa y del consorci sanitari integral. La apuesta por la calidad ha de ser el propulsor de la imperiosa transformación de la sanidad que se logrará con ayuda de la metodología lean. La transformación se ha de realizar por la seguridad de los pacientes, la satisfacción de los profesionales y a sostenibilidad de nuestro valioso sistema sanitario.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788499693835.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/mas-calidad-menos-coste-la-via-lean-healthcare
9788413970820,La Responsabilidad penal de las personas Jurídicas,Derecho,Miguel Carbonell,Tirant lo Blanch,504,09 de Diciembre 2021,"La responsabilidad penal de las empresas, los distintos modelos de imputación y los mecanismos de defensa empresarial, plantean serios desafíos a las ciencias penales. Cada día son más las Fiscalías Iberoamericanas que se enfrentan al reto de atribuir responsabilidad penal a los entes colectivos, mientras que los órganos jurisdiccionales deben resolver problemas teóricos y prácticos ineludibles ¿cómo se configura el dolo organizacional? ¿puede existir coautoría entre personas humanas y jurídicas? ¿cuál es la ubicación sistemática de los criminal compliance programs? Con la finalidad de abordar estos y otros interrogantes, un grupo de profesores ?americanos y europeos? han unido esfuerzos que se reflejan en esta obra, cuyo eje rector ocupará a los especialistas por los próximos cincuenta años.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9788413970820_16ef.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/la-responsabilidad-penal-de-las-personas-juridicas
9786078550593,CAZADOR DE VENGANZA,Ciencia Ficción,Ituriel Colin,Rodrigo Porrúa,185,2018,UNA CAZA RECOMPENZAS ESPECIAL ESTA DECIDIDA A ENCOTRAR EL ASESINO PARA COBRAR VENGANZA PERSONAL POR ALGO QUE EL TIEMPO DEJO ATRÁS PERO QUE MARCO SU VIDA PARA SIEMPRE.,"https://www.gandhi.com.mx/media/catalog/product/9/7/9786078550593.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/cazador-de-venganza
9788425431166,De la realidad,Filosofía,Gianni Vattimo,Herder,256,2013,"Cuando, mediada la década de los ochenta del siglo pasado, Gianni Vattimo le otorgó espesor filosófico a lo posmoderno con su pensamiento débil, fue acusado de ser el rapsoda del capitalismo triunfante y de sus ilusiones. Su crítica radical de las ideologías y su defensa de la hermenéutica parecían ensalzar el nuevo horizonte dominado por lo virtual y por la liquidez, comenzando por el dinero y las finanzas. El ocaso de las ideologías daría paso al dominio del principio de realidad y de la presunta objetividad de las leyes económicas. Sin embargo, el capitalismo atraviesa hoy una de las crisis más graves de su historia, en la que esa llamada a la realidad, en apariencia cargada de sentido común, deviene un instrumento para imponer el conformismo y la aceptación del orden vigente. Frente a esa ideología autoritaria, Vattimo reivindica la hermenéutica -la constante práctica de la interpretación- como un extraordinario instrumento cognoscitivo, precisamente porque nos permite superar la dictadura del presente. Así pues, aquí podría asentarse la base de un proyecto de transformación y de liberación, con inmediatas repercusiones políticas.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788425431166.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/de-la-realidad-fines-de-la-filosofia
9788425423338,INTRODUCCION A LA FENOMENOLOGIA,Filosofía,Jan Patočka,Herder,28,2005,"Jan Patocka es seguramente el filósofo checo más influyente de la modernidad y el principal representante del movimiento fenomenológico en Checoslovaquia. En este texto, se propone analizar los fundamentos de la fenomenología tal y como aparecen formulados por Husserl. Su objetivo es extraer de la fenomenología aquello que aún tiene sentido para nuestra manera de pensar. A través de la aplicación de una crítica contundente a las bases de la fenomenología, lo que quiere no es acabar con la fenomenología, sino más bien empezar. Evidentemente, la fenomenología tal y como aparece en las formulaciones Husserlianas no es aceptable sin más ni más cuando ha pasado casi un siglo de discusiones fenomenológicas. Se podría decir que el esfuerzo de Patocka significa una actualización de la fenomenología, o, mejor aún, de una filosofía fenomenológica. A través de su análisis y de su crítica de los pensamientos de Husserl, Patocka llega a un punto en el que no sólo se pregunta por las posibilidades y el sentido de la fenomenología como escuela filosófica, sino de la filosofía misma. ¿Qué es fenomenología?, es lo que se pregunta Patocka. La respuesta nos lleva, a través la aplicación de un pensar fenomenológico, a la más radical posibilidad de pensar filosóficamente el libro tiene su origen en el curso que impartió Patocka en la facultad de filosofía de la universidad carolina en el año escolar 69/70. Algunos de sus alumnos trabajaron en la producción textual, que finalizó con la edición checa en 1977 al cuidado de Ivan Chvatík. Patocka, sin embargo, nunca llegó a revisarlo. Ésta es la primera traducción que se hace de la versión checa original del texto. Para el público en general, historiadores, Judaistas, filólogos.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788425423338.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/introduccion-a-la-fenomenologia
9786075575315,Caldo de pollo para el alma: Vivir la fe católica (segunda edición),Desarrollo Humano,Jack Canfield,Océano,364,02 de Mayo 2022,"Este libro es un auténtico regalo al corazón y un consuelo en momentos difíciles. Inspiradoras páginas que renuevan nuestro amor por la vida y ponen de manifiesto el valor de la fe en los momentos de crisis y confusión. Se trata de 101 historias de la vida real sobre hombres y mujeres que, en situaciones de aflicción, incertidumbre o riesgo mantuvieron la esperanza en sí mismos y en Dios. ¡Una obra que te acompañará por siempre! Personas de todas las edades comparten contigo experiencias reales llenas de emoción y fe: el catolicismo en la vida cotidiana, la infancia y la adolescencia católica, sacramentos y milagros.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786075575315_4f24.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/caldo-de-pollo-para-el-alma-vivir-la-fe-catolica-segunda-edicion
9788445014882,La casa de las sombras,Terror y Suspenso,Adam Nevill,Minotauro,352,05 de Abril 2023,"Una novela aterradora.El último trabajo de Catherine terminó mal. El acoso corporativo en una de las principales cadenas de televisión hizo que la despidieran y la obligaran a abandonar Londres, pero estaba decidida a recuperar su vida. Un nuevo trabajo y algunos terapeutas más tarde, las cosas pintan mejor. Especialmente cuando se le presenta un proyecto desafiante: catalogar el alijo salvajemente excéntrico de muñecas y títeres antiguos del difunto M. H. Mason.Lo más raro de todo es que podrá examinar sus elaboradas exhibiciones de animales disecados y disfrazados, que representan escenas sangrientas de la Gran Guerra. Catherine no puede creerse su suerte cuando la anciana sobrina de Mason la invita a quedarse en Red House, donde mantiene la colección hasta que su sobrina la expone al oscuro mensaje de detrás del Arte de su tío.Catherine intenta concentrarse en el trabajo, pero las visiones de Mason comienzan a generar sombras oscuras de su propio pasado. Sombras que esperaba que la terapia finalmente hubiera borrado. Pronto, las barreras entre la realidad, la cordura y la memoria comienzan a fusionarse y algunas verdades parecen demasiado terribles para ser reales...","https://www.gandhi.com.mx/media/catalog/product/9788445014882?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/la-casa-de-las-sombras-1
9781726628242,EL MUNDO HA PROGRESADO UNA BARBARIDAD,Ensayo Literario,Javier Prieto Aceves,Cénit Nadir edicione,156,2018,"El autor, cultiva relatos breves que son como acuarelas que tienen la música por dentro y quieren preguntarnos algo a soto voce si estamos conformes con el uso de las maravillas inventadas, de contenido de los espectáculos, de la vida familiar y de los usos y costumbres. La preguntas son: ¿Así los quieres, de inteligentes, verdaderos y bellos o los preferirías mejores? ¿Te parece que esto o lo otro se quede así como está, o lo quieres todavía más idiota? Se mete también hasta con la política y los políticos.","https://www.gandhi.com.mx/media/catalog/product/9/7/9781726628242.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/el-mundo-ha-progresado-una-barbaridad
9789682445965,Cultura de calidad de servicio,Negocios y Finanzas,Enrique Müller de la Lama,Trillas,118,1999,"En la actualidad, el concepto de calidad en las empresas ha cambiado. Antes se pensaba que cumplir las demandas del cliente con respecto al producto era suficiente para hacer un buen negocio; hoy no basta sólo eso, el servicio ha llegado a ser la ventaja competitiva del presente, al igualarse en importancia con la calidad de los productos. La filosofía que rige en muchas empresas está orientada al logro del equilibrio entre servicio y alta calidad, superando las expectativas de clientes, hay empresarios que aún no han comprendido plenamente la idea de calidad integral. Crear, cambiar o mejorar la cultura organizacional de una empresa por una cultura de calidad de servicio es fundamental para aquellos empresarios que desean llegar a ser o mantenerse como líderes de alta calidad tanto en su producción como en los servicios que prestan. Mediante la aplicación de los conceptos aquí expuestos, el autor busca que las empresas interesadas en cambiar su cultura organizacional lleguen a tener una mejor calidad de servicio; por ello presente modelos y figuras, caos reales, ejercicios de autodiagnóstico y ejercicios de construcción de modelos culturales, que son producto de la formación y la experiencia del autor en consultoría de calidad de servicio.","https://www.gandhi.com.mx/media/catalog/product/9/7/9789682445965.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/cultura-de-calidad-de-servicio
