ISBN,Título,Género,Autor,Editorial,Número de Páginas,Fecha de Publicación,Sinopsis,Portada,URL
9788417866228,La invención de la memoria,fotografia,Varios autores,Turner,328,2019,"Un recorrido por el México prehispánico a través del objetivo de los primeros fotógrafos arqueológicos. La fotografía fue una herramienta fundamental para el trabajo de campo e intervino en la evolución de la arqueología mexicana en el siglo XIX. EL desarrollo de ambos, arte y ciencia, impulsó la conservación, la difusión y el reconocimiento del patrimonio cultural del país. Las imágenes, tomadas por fotógrafos-artistas extranjeros y nacionales, se exhibieron en la exposición homónima organizada en el Museo de Arte e Historia de Guanajuato (México). En ellas se muestran el descubrimiento de las edificaciones y piezas que habían permanecido ocultas por la naturaleza, vestigios de las grandes culturas precolombinas, al tiempo que nos acercan a la realidad mexicana de la época. 0","https://www.gandhi.com.mx/media/catalog/product/9/7/9788417866228.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/la-invencion-de-la-memoria-fotografia-y-arqueologia-en-mexico
9786075574233,Caldo de pollo para el alma: El poder de lo positivo (segunda edición),desarrollo-humano,Jack Canfield,Océano,404,28 de Enero 2022,"Aprende a cambiar tu vida con el poder del pensamiento positivo. ¡Funciona¡ Y es muy fácil seguir los pasos descritos en estas historias. 101 historias reales sobre el poder del pensamiento positivo para cambiar nuestra vida. El pensamiento positivo es una herramienta poderosa que puede hacernos más sanos, más felices y más exitosos. Usa el poder del pensamiento positivo para mejorar tu vida y tus relaciones, superar retos y llevar una vida productiva que tenga propósito. Este libro te pondrá en el camino para llegar a ser una nueva persona. Aquí leerás historias personales inspiradoras y sugerencias sobre: el poder de quererte y darte cuenta de que tú puedes ser tu peor enemigo; el poder de adaptar tus actitudes, desde cambiar las palabras que empleas hasta cambiar tu comportamiento; el poder de perseverar y superar retos; el poder de relajarte y aprender a ""no ahogarte en un vaso de agua""; el poder de la gratitud y de considerarse afortunado por lo que uno tiene.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786075574233_2456.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/caldo-de-pollo-para-el-alma-el-poder-de-lo-positivo-segunda-edicion
9788449328794,Pequeño tratado del abandono,filosofia,Alexandre Jollien,Paidós,128,09 de Diciembre 2013,"Las veinte reflexiones que Jollien nos transmite en esta obra nos muestran el camino hacia una sabiduría que nos aporta la paz interior. Estas veinte meditaciones son, al propio tiempo, un remedio y una reflexión sobre los obstáculos que nos separan de la felicidad y los caminos que nos conducen a ella. El abandono, la amistad, la determinación, la fragilidad, la gratitud y la humildad son algunas de las vías que Alexandre Jollien practica cada día para afrontar los pequeños acontecimientos, felices o desgraciados, que aparecen en su vida (un encuentro, una conversación con sus hijos, una disputa, una impaciencia, una angustia), empleando estos recursos para afrontarlos sin sufrimiento. De este modo, elabora un arte de vivir que nos desprende de los obstáculos que nosotros mismos nos ponemos y nos ayuda a encontrar la audacia de afrontar felizmente nuestra existencia.El Pequeño tratado sobre el abandono intenta construir un camino hacia la libertad interior y dibujar el arte de vivir que permite asumir los altibajos de la vida cotidiana. Ni instrucciones ni recetas, solo reflexiones encaminadas a descubrir las herramientas y los ejercicios espirituales que nos permiten avanzar. A partir de la tradición filosófica y del zen, Alexandre Jollien nos invita a encaminarnos hacia una vida más simple, pues la felicidad no procede de la acumulación, sino del desapego, y es la alegría la que nos lleva hacia ella. De ahí surge este itinerario hacia el abandono, nacido de sus alegrías y sus heridas.","https://www.gandhi.com.mx/media/catalog/product/9/7/9788449328794_82ec.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/peque-o-tratado-del-abandono
9783822819692,"po-Film, James Dean-IEP",cine,Paul Duncan,Taschen,192,2013,Recorrido por la vida y la filmografía de este icono del cine con estupendas fotografías de sus rodajes.,"https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9783822819692_a1a6.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/james-dean
9788411473842,"Nacionales, ciudadanos y extranjeros.",derecho,Pascual Alberto Orozco Garibay,Tirant lo Blanch,136,2023,"El presente trabajo pretende dos objetivos fundamentales. El primero consiste en describir desde la perspectiva de la Teoría del Estado, la integración de la población o elemento humano del Estado Mexicano, por nacionales, ciudadanos y extranjeros y personas morales nacionales y extranjeras; señalar sus derechos, obligaciones y limitaciones, y en segundo lugar demostrar que los mexicanos no tenemos los mismos derechos ni como nacionales ni como ciudadanos, ya que existen mexicanos de primera, de segunda y de tercera clase; desigualdad que también se aplica a los extranjeros.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9788411473842_603f.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/nacionales-ciudadanos-y-extranjeros
9788499887647,Un Buda en la oficina,psicologia-psicoanalisis-psiquiatra,Dan Zigmond,Kairós,272,14 de Mayo 2021,"Sin haber pisado una oficina en su vida, el Buda sabía que ayudar a las personas a trabajar correctamente era esencial para facilitarles el acceso a la senda del despertar. Y, en la actualidad, más que en ningún otro momento, nos hace falta la guía del Buda. La mayoría trabajamos muchas horas, nos relacionamos con jefes complicados, con compañeros de trabajo difíciles de contentar y con un estrés incesante. Necesitamos a alguien que nos recuerde que existe un modo mejor de hacer las cosas. Firmemente aposentado en la sabiduría budista, Un Buda en la oficina nos ayudará a dejar de tomar atajos y a prestar más atención, cuidar de nosotros mismos y de los demás, relacionarnos con las distracciones e incorporar las enseñanzas atemporales del Buda a nuestra moderna vida laboral. Ha llegado la hora de despertar y empezar a trabajar de un modo más iluminado, de un modo que sea correcto para nosotros, bueno para la salud, adecuado para nuestro equilibrio mental y considerado con el mundo. ¡Este libro transformará nuestro trabajo a la perfección!: Kevin Systrom, cofundador de Instagram.","https://www.gandhi.com.mx/media/catalog/product/9788499887647?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/un-buda-en-la-oficina-1
9788416295159,Cocina simple,gastronomia,Yotam Ottolenghi,Salamandra,320,01 de Febrero 2020,"Los libros de Yotam Ottolenghi, uno de los chefs que más ha cambiado nuestra forma de entender, cocinar y comer verduras y hortalizas, son siempre una fiesta para los sentidos. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil.El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil. El nuevo e impresionante libro de cocina que todos hemos estado deseando: la comida vibrante de Yotam Ottolenghi hecha fácil.Cocina simple, su última y esperada obra, sin duda no es una excepción. Elaborados con la exuberancia y las sorpresas habituales en él, los ciento treinta platos de este libro contienen todos los elementos imaginativos y la combinación de sabores a los que nos ha acostumbrado Ottolenghi para lograr el máximo disfrute con la mínima dificultad. Originales y deliciosas, las recetas de Cocina simple son aquí mucho más accesibles gracias a seis preceptos muy sencillos identificados por sendos pictogramas: S Sofisticado pero fácil; I Imprescindibles en la despensa; M Menos es más; P Pereza; L Listo con antelación; E Exprés.Gracias a las pautas de Ottolenghi, poner en la mesa una comida fabulosa en menos de treinta minutos, elaborar una receta sabrosa con un único recipiente o servir un plato preparado con antelación son tareas mucho más sencillas, relajantes y divertidas, tanto para quienes no quieran prescindir de la emoción y la osadía entre fogones como para quienes no deseen complicarse demasiado la vida a la hora de cocinar.Los libros de Yotam Ottolenghi, uno de los chefs que más ha cambiado nuestra forma de entender, cocinar y comer verduras y hortalizas, son siempre una fiesta para los sentidos. Cocina simple, su última y esperada obra, sin duda no es una excepción. Elaborados con la exuberancia y las sorpresas habituales en él, los ciento treinta platos de este libro contienen todos los elementos imaginativos y la combinación de sabores a los que nos ha acostumbrado Ottolenghi para lograr el máximo disfrute con la mínima dificultad.Originales y deliciosas, las recetas de Cocina simple son aquí mucho más accesibles gracias a seis preceptos muy sencillos identificados por sendos pictogramas:S Sofisticado pero fácilI Imprescindibles en la despensaM Menos es másP PerezaL Listo con antelaciónE ExprésGracias a las pautas de Ottolenghi, poner en la mesa una comida fabulosa en menos de treinta minutos, elaborar una receta sabrosa con un único recipiente o servir un plato preparado con antelación son tareas mucho más sencillas, relajantes y divertidas, tanto para quienes no quieran prescindir de la emoción y la osadía entre fogones como para quienes no deseen complicarse demasiado la vida a la hora de cocinar.Los libros de Yotam Ottolenghi, uno de los chefs que más ha cambiado nuestra forma de entender, cocinar y comer verduras y hortalizas, son siempre una fiesta para los sentidos. Cocina simple, su última y esperada obra, sin duda no es una excepción. Elaborados con la exuberancia y las sorpresas habituales en él, los ciento treinta platos de este libro contienen todos los elementos imaginativos y la combinación de sabores a los que nos ha acostumbrado Ottolenghi para lograr el máximo disfrute con la mínima dificultad.Originales y deliciosas, las recetas de Cocina simple son aquí mucho más accesibles gracias a seis preceptos muy sencillos identificados por sendos pictogramas:S Sofisticado pero fácilI Imprescindibles en la despensaM Menos es másP PerezaL Listo con antelaciónE ExprésGracias a las pautas de Ottolenghi, poner en la mesa una comida fabulosa en menos de treinta minutos, elaborar uLa crítica ha dicho...Más que un chef, Yotam Ottolenghi es un auténtico mago de la cocina sencilla, elaborada a partir de verduras y hortalizas. Y, como tal, se saca de la manga un sinfín de sorpresas y trucos de su célebre Simple, un divertido recetario con más de 130 recetas.Condé Nast TravellerYotam Ottolenghi es uno de los chefs que más ha cambiado la forma de entender, cocinar y comer verduras en los últimos tiempos. Consigue que sus recetas sean una fiesta para los sentidos de una manera sencilla.MÍALa crítica ha dicho...Más que un chef, Yotam Ottolenghi es un auténtico mago de la cocina sencilla, elaborada a partir de verduras y hortalizas. Y, como tal, sesaca de la manga un sinfín de sorpresas y trucos de su célebre Simple, un divertido recetario con más de 130 recetas.Condé Nast TravellerYotam Ottolenghi es uno de los chefs que más ha cambiado la forma de entender, cocinar y comer verduras en los últimos tiempos. Consigue que sus recetas sean una fiesta para los sentidos de una manera sencilla.MÍALa crítica ha dicho...Más que un chef, Yotam Ottolenghi es un auténtico mago de la cocina sencilla, elaborada a partir de verduras y hortalizas. Y, como tal, se saca de la manga un sinfín desorpresas y trucos de su célebre Simple, un divertido recetario con más de 130 recetas.Condé Nast TravellerYotam Ottolenghi es uno de los chefs que más ha cambiado la forma de entender, cocinar y comer verduras en los últimos tiempos. Consigue que sus recetas sean una fiesta para los sentidos de una manera sencilla.MÍALa crítica ha dicho...Más que un chef, Yotam Ottolenghi es un auténtico mago de la cocina sencilla, elaborada a partir de verduras y hortalizas. Y, como tal, sesaca de la manga un sinfín de sorpresas y trucos de su célebre Simple, un divertido recetario con más de 130 recetas.Condé Nast TravellerYotam Ottolenghi es uno de los chefs que más ha cambiado la forma de entender, cocinar y comer verduras en los últimos tiempos. Consigue que sus recetas sean una fiesta para los sentidos de una manera sencilla.MÍA","https://www.gandhi.com.mx/media/catalog/product/9788416295159?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/cocina-simple
9786072925083,RAPSODIA DE POSTRES,gastronomia,Raquel Askenazi,Askenazi Mohana Raquel,258,01 de Marzo 2021,"ALIMENTACIÓN SANA¿Quién dice que los postres no pueden ser sabrosos si se preparan con un mínimo de azúcar, grasa y calorías? Comer sano no es sinónimo de comer desabrido y aburrido. A partir de esta premisa, las recetas de este libro han sido adaptadas a las preferencias y cambios generacionales actuales, ofreciendo un enfoque nuevo en el cual, sin sacrificar el sabor, se cocina en forma inteligente, creando el punto exacto entre rico y sano. Antes decían: “Coma de todo y engorde sin culpa”. En estos tiempos, hay una nueva educación y hábitos, existe mayor conciencia sobre una alimentación con menos grasa, azúcar y calorías.VARIACIONESUno de los atractivos de este libro radica en lo que la autora denomina variaciones. A partir de una receta básica, al sustituir unos ingredientes por otros, se logrará crear una gran variedad de postres, abriendo un abanico de posibilidades para dejar volar la imaginación y elaborar las recetas según las preferencias personales. El mismo principio se aplica para obtener postres no lácteos y sin gluten.RECETAS CONFIABLES Y SEGURASRapsodia de postres contiene 150 recetas y 214 variaciones probadas y aprobadas, para ser preparadas por expertos o principiantes, con indicaciones completas, paso a paso, de manera breve y clara. Incluye el qué, el cómo y el por qué. Además, contiene un amplio glosario, prácticos consejos y tablas de equivalencias.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9786072925083_dc1a.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/rapsodia-de-postres
9786073820905,Historias Perturbadoras,terror-y-suspenso,Luisito Comunica,Alfaguara infantil,200,17 de Octubre 2022,"Historias terroríficas basadas en hechos realesAquelque lea este libro será transportado a realidades tan siniestras que podrían parecer ficción, pero son mucho más comunes de lo que algunos podrían pensar. Desde traumas personales hasta la maldad que encarna el ser humano, duras verdades son retratadas en tres historias que espero nunca llegues a experimentar.","https://www.gandhi.com.mx/media/catalog/product/9/7/9786073820905_de93.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/historias-perturbadoras
9788425443978,FUERA DE SI MISMAS,filosofia,Luciana Cadahia,Herder,4,2020,"Once mujeres. Once filósofas. Once voces importantes de la actualidad filosófica que se alzan para pensar de otra manera nuestro presente. Porque la filosofía nace sita abordar las grandes cuestiones desde un locus que vaya más allá de la voz masculina que la ha condiciona do. Por eso, el propósito de este libro es visibilizar el trabajo conjunto de diferentes pensadoras que buscan hacer filosofía de otro modo en el ámbito del pensamiento político y estético. En esa dirección, las autoras proponen dislocar la norma en tres aspectos: el orden cortocircuitando el lugar que les ha sido asignado en la historia del pensamiento masculino occidental; salir de asumiendo ese como objeto central de cuestionamiento y mostrar que los temas tienen más de hábito que de pensamiento y que, por tanto, la idea de rigor filosófico puede ser explorado de formas alternativas. Este libro, por tanto, es una apuesta declaradamente feminista y apunta a una dislocación de lo habitual que permita sacar a la luz conexiones inesperadas entre la sensibilidad y el pensamiento, entre la praxis y el concepto y, por sobre todas las cosas, entre un pasado y un presente desde el que se vuelve urgente desactivar la profunda lógica patriarcal que gobierna nuestras formas de pensamiento contemporáneo.","https://www.gandhi.com.mx/media/catalog/product/t/m/tmp9788425443978_2597.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=478&width=300&canvas=300:478",https://www.gandhi.com.mx/fuera-de-si-mismas
